📺4K频道,#genre#
CCTV4K,http://27.17.212.8:55555/rtp/239.69.1.111:10304
CCTV4K,http://59.174.118.10:60002/rtp/239.69.1.111:10304
CCTV4K,http://59.173.123.57:4022/rtp/239.69.1.111:10304
CCTV4K,http://219.139.231.142:8989/rtp/239.69.1.111:10304
CCTV4K,http://219.139.229.55:8989/rtp/239.69.1.111:10304
CCTV16 4K,http://27.17.212.8:55555/rtp/239.69.1.12:9712
CCTV16 4K,http://27.17.212.8:55555/rtp/239.69.1.249:11136
CCTV16 4K,http://59.174.118.10:60002/rtp/239.69.1.12:9712
CCTV16 4K,http://59.174.118.10:60002/rtp/239.69.1.249:11136
CCTV16 4K,http://59.173.123.57:4022/rtp/239.69.1.12:9712
CCTV16 4K,http://59.173.123.57:4022/rtp/239.69.1.249:11136
CCTV16 4K,http://219.139.231.142:8989/rtp/239.69.1.12:9712
CCTV16 4K,http://219.139.231.142:8989/rtp/239.69.1.249:11136
CCTV16 4K,http://219.139.229.55:8989/rtp/239.69.1.12:9712
CCTV16 4K,http://219.139.229.55:8989/rtp/239.69.1.249:11136
北京卫视4K,http://27.17.212.8:55555/rtp/239.69.2.22:11286
北京卫视4K,http://59.174.118.10:60002/rtp/239.69.2.22:11286
北京卫视4K,http://59.173.123.57:4022/rtp/239.69.2.22:11286
北京卫视4K,http://219.139.231.142:8989/rtp/239.69.2.22:11286
北京卫视4K,http://219.139.229.55:8989/rtp/239.69.2.22:11286
东方卫视4K,http://27.17.212.8:55555/rtp/239.69.2.37:11376
东方卫视4K,http://59.174.118.10:60002/rtp/239.69.2.37:11376
东方卫视4K,http://59.173.123.57:4022/rtp/239.69.2.37:11376
东方卫视4K,http://219.139.231.142:8989/rtp/239.69.2.37:11376
东方卫视4K,http://219.139.229.55:8989/rtp/239.69.2.37:11376
广东卫视4K,http://27.17.212.8:55555/rtp/239.69.2.27:11316
广东卫视4K,http://59.174.118.10:60002/rtp/239.69.2.27:11316
广东卫视4K,http://59.173.123.57:4022/rtp/239.69.2.27:11316
广东卫视4K,http://219.139.231.142:8989/rtp/239.69.2.27:11316
广东卫视4K,http://219.139.229.55:8989/rtp/239.69.2.27:11316
深圳卫视4K,http://27.17.212.8:55555/rtp/239.69.2.28:11322
深圳卫视4K,http://59.174.118.10:60002/rtp/239.69.2.28:11322
深圳卫视4K,http://59.173.123.57:4022/rtp/239.69.2.28:11322
深圳卫视4K,http://219.139.231.142:8989/rtp/239.69.2.28:11322
深圳卫视4K,http://219.139.229.55:8989/rtp/239.69.2.28:11322
湖南卫视4K,http://27.17.212.8:55555/rtp/239.69.1.13:9718
湖南卫视4K,http://27.17.212.8:55555/rtp/239.69.1.27:9802
湖南卫视4K,http://27.17.212.8:55555/rtp/239.69.2.34:11358
湖南卫视4K,http://59.174.118.10:60002/rtp/239.69.1.13:9718
湖南卫视4K,http://59.174.118.10:60002/rtp/239.69.1.27:9802
湖南卫视4K,http://59.174.118.10:60002/rtp/239.69.2.34:11358
湖南卫视4K,http://59.173.123.57:4022/rtp/239.69.1.13:9718
湖南卫视4K,http://59.173.123.57:4022/rtp/239.69.1.27:9802
湖南卫视4K,http://59.173.123.57:4022/rtp/239.69.2.34:11358
湖南卫视4K,http://219.139.231.142:8989/rtp/239.69.1.13:9718
湖南卫视4K,http://219.139.231.142:8989/rtp/239.69.1.27:9802
湖南卫视4K,http://219.139.231.142:8989/rtp/239.69.2.34:11358
湖南卫视4K,http://219.139.229.55:8989/rtp/239.69.1.13:9718
湖南卫视4K,http://219.139.229.55:8989/rtp/239.69.1.27:9802
湖南卫视4K,http://219.139.229.55:8989/rtp/239.69.2.34:11358
山东卫视4K,http://27.17.212.8:55555/rtp/239.69.1.26:9796
山东卫视4K,http://27.17.212.8:55555/rtp/239.69.2.38:11382
山东卫视4K,http://59.174.118.10:60002/rtp/239.69.1.26:9796
山东卫视4K,http://59.174.118.10:60002/rtp/239.69.2.38:11382
山东卫视4K,http://59.173.123.57:4022/rtp/239.69.1.26:9796
山东卫视4K,http://59.173.123.57:4022/rtp/239.69.2.38:11382
山东卫视4K,http://219.139.231.142:8989/rtp/239.69.1.26:9796
山东卫视4K,http://219.139.231.142:8989/rtp/239.69.2.38:11382
山东卫视4K,http://219.139.229.55:8989/rtp/239.69.1.26:9796
山东卫视4K,http://219.139.229.55:8989/rtp/239.69.2.38:11382
四川卫视4K,http://27.17.212.8:55555/rtp/239.69.2.39:11388
四川卫视4K,http://27.17.212.8:55555/rtp/239.69.1.28:9808
四川卫视4K,http://59.174.118.10:60002/rtp/239.69.2.39:11388
四川卫视4K,http://59.174.118.10:60002/rtp/239.69.1.28:9808
四川卫视4K,http://59.173.123.57:4022/rtp/239.69.2.39:11388
四川卫视4K,http://59.173.123.57:4022/rtp/239.69.1.28:9808
四川卫视4K,http://219.139.231.142:8989/rtp/239.69.2.39:11388
四川卫视4K,http://219.139.231.142:8989/rtp/239.69.1.28:9808
四川卫视4K,http://219.139.229.55:8989/rtp/239.69.2.39:11388
四川卫视4K,http://219.139.229.55:8989/rtp/239.69.1.28:9808
浙江卫视4K,http://27.17.212.8:55555/rtp/239.69.2.35:11364
浙江卫视4K,http://27.17.212.8:55555/rtp/239.69.1.25:9790
浙江卫视4K,http://59.174.118.10:60002/rtp/239.69.2.35:11364
浙江卫视4K,http://59.174.118.10:60002/rtp/239.69.1.25:9790
浙江卫视4K,http://59.173.123.57:4022/rtp/239.69.2.35:11364
浙江卫视4K,http://59.173.123.57:4022/rtp/239.69.1.25:9790
浙江卫视4K,http://219.139.231.142:8989/rtp/239.69.2.35:11364
浙江卫视4K,http://219.139.231.142:8989/rtp/239.69.1.25:9790
浙江卫视4K,http://219.139.229.55:8989/rtp/239.69.2.35:11364
浙江卫视4K,http://219.139.229.55:8989/rtp/239.69.1.25:9790
江苏卫视4K,http://27.17.212.8:55555/rtp/239.69.1.24:9784
江苏卫视4K,http://27.17.212.8:55555/rtp/239.69.2.36:11370
江苏卫视4K,http://59.174.118.10:60002/rtp/239.69.1.24:9784
江苏卫视4K,http://59.174.118.10:60002/rtp/239.69.2.36:11370
江苏卫视4K,http://59.173.123.57:4022/rtp/239.69.1.24:9784
江苏卫视4K,http://59.173.123.57:4022/rtp/239.69.2.36:11370
江苏卫视4K,http://219.139.231.142:8989/rtp/239.69.1.24:9784
江苏卫视4K,http://219.139.231.142:8989/rtp/239.69.2.36:11370
江苏卫视4K,http://219.139.229.55:8989/rtp/239.69.1.24:9784
江苏卫视4K,http://219.139.229.55:8989/rtp/239.69.2.36:11370
欢笑剧场4K,http://27.17.212.8:55555/rtp/239.69.2.5:11184
欢笑剧场4K,http://59.174.118.10:60002/rtp/239.69.2.5:11184
欢笑剧场4K,http://59.173.123.57:4022/rtp/239.69.2.5:11184
欢笑剧场4K,http://219.139.231.142:8989/rtp/239.69.2.5:11184
欢笑剧场4K,http://219.139.229.55:8989/rtp/239.69.2.5:11184

📺高清频道,#genre#
CCTV1HD,http://27.17.212.8:55555/rtp/239.254.96.96:8550
CCTV1HD,http://59.174.118.10:60002/rtp/239.254.96.96:8550
CCTV1HD,http://59.173.123.57:4022/rtp/239.254.96.96:8550
CCTV1HD,http://219.139.231.142:8989/rtp/239.254.96.96:8550
CCTV1HD,http://219.139.229.55:8989/rtp/239.254.96.96:8550
CCTV2HD,http://27.17.212.8:55555/rtp/239.69.1.102:10250
CCTV2HD,http://59.174.118.10:60002/rtp/239.69.1.102:10250
CCTV2HD,http://59.173.123.57:4022/rtp/239.69.1.102:10250
CCTV2HD,http://219.139.231.142:8989/rtp/239.69.1.102:10250
CCTV2HD,http://219.139.229.55:8989/rtp/239.69.1.102:10250
CCTV3HD,http://27.17.212.8:55555/rtp/239.69.1.122:10370
CCTV3HD,http://59.174.118.10:60002/rtp/239.69.1.122:10370
CCTV3HD,http://59.173.123.57:4022/rtp/239.69.1.122:10370
CCTV3HD,http://219.139.231.142:8989/rtp/239.69.1.122:10370
CCTV3HD,http://219.139.229.55:8989/rtp/239.69.1.122:10370
CCTV4HD,http://27.17.212.8:55555/rtp/239.69.1.138:10466
